ethnicity,LAD19CD,count_lad19
All usual residents,E06000005,105564
White,E06000005,101595
White: English/Welsh/Scottish/Northern Irish/British,E06000005,98898
White: Irish,E06000005,328
White: Gypsy or Irish Traveller,E06000005,350
White: Other White,E06000005,2019
Mixed/multiple ethnic groups,E06000005,1146
Mixed/multiple ethnic groups: White and Black Caribbean,E06000005,463
Mixed/multiple ethnic groups: White and Black African,E06000005,97
Mixed/multiple ethnic groups: White and Asian,E06000005,350
Mixed/multiple ethnic groups: Other Mixed,E06000005,236
Asian/Asian British,E06000005,2205
Asian/Asian British: Indian,E06000005,726
Asian/Asian British: Pakistani,E06000005,145
Asian/Asian British: Bangladeshi,E06000005,523
Asian/Asian British: Chinese,E06000005,349
Asian/Asian British: Other Asian,E06000005,462
Black/African/Caribbean/Black British,E06000005,357
Black/African/Caribbean/Black British: African,E06000005,206
Black/African/Caribbean/Black British: Caribbean,E06000005,105
Black/African/Caribbean/Black British: Other Black,E06000005,46
Other ethnic group,E06000005,261
Other ethnic group: Arab,E06000005,112
Other ethnic group: Any other ethnic group,E06000005,149
All usual residents,E06000047,513242
White,E06000047,503769
White: English/Welsh/Scottish/Northern Irish/British,E06000047,495664
White: Irish,E06000047,1229
White: Gypsy or Irish Traveller,E06000047,467
White: Other White,E06000047,6409
Mixed/multiple ethnic groups,E06000047,3094
Mixed/multiple ethnic groups: White and Black Caribbean,E06000047,969
Mixed/multiple ethnic groups: White and Black African,E06000047,321
Mixed/multiple ethnic groups: White and Asian,E06000047,1093
Mixed/multiple ethnic groups: Other Mixed,E06000047,711
Asian/Asian British,E06000047,4856
Asian/Asian British: Indian,E06000047,1368
Asian/Asian British: Pakistani,E06000047,463
Asian/Asian British: Bangladeshi,E06000047,241
Asian/Asian British: Chinese,E06000047,1598
Asian/Asian British: Other Asian,E06000047,1186
Black/African/Caribbean/Black British,E06000047,701
Black/African/Caribbean/Black British: African,E06000047,447
Black/African/Caribbean/Black British: Caribbean,E06000047,158
Black/African/Caribbean/Black British: Other Black,E06000047,96
Other ethnic group,E06000047,822
Other ethnic group: Arab,E06000047,459
Other ethnic group: Any other ethnic group,E06000047,363
All usual residents,E06000001,92028
White,E06000001,89899
White: English/Welsh/Scottish/Northern Irish/British,E06000001,88924
White: Irish,E06000001,193
White: Gypsy or Irish Traveller,E06000001,40
White: Other White,E06000001,742
Mixed/multiple ethnic groups,E06000001,550
Mixed/multiple ethnic groups: White and Black Caribbean,E06000001,180
Mixed/multiple ethnic groups: White and Black African,E06000001,54
Mixed/multiple ethnic groups: White and Asian,E06000001,173
Mixed/multiple ethnic groups: Other Mixed,E06000001,143
Asian/Asian British,E06000001,1304
Asian/Asian British: Indian,E06000001,266
Asian/Asian British: Pakistani,E06000001,291
Asian/Asian British: Bangladeshi,E06000001,214
Asian/Asian British: Chinese,E06000001,229
Asian/Asian British: Other Asian,E06000001,304
Black/African/Caribbean/Black British,E06000001,170
Black/African/Caribbean/Black British: African,E06000001,129
Black/African/Caribbean/Black British: Caribbean,E06000001,36
Black/African/Caribbean/Black British: Other Black,E06000001,5
Other ethnic group,E06000001,105
Other ethnic group: Arab,E06000001,57
Other ethnic group: Any other ethnic group,E06000001,48
All usual residents,E06000002,138412
White,E06000002,122055
White: English/Welsh/Scottish/Northern Irish/British,E06000002,119106
White: Irish,E06000002,574
White: Gypsy or Irish Traveller,E06000002,85
White: Other White,E06000002,2290
Mixed/multiple ethnic groups,E06000002,2362
Mixed/multiple ethnic groups: White and Black Caribbean,E06000002,541
Mixed/multiple ethnic groups: White and Black African,E06000002,452
Mixed/multiple ethnic groups: White and Asian,E06000002,904
Mixed/multiple ethnic groups: Other Mixed,E06000002,465
Asian/Asian British,E06000002,10768
Asian/Asian British: Indian,E06000002,1477
Asian/Asian British: Pakistani,E06000002,6811
Asian/Asian British: Bangladeshi,E06000002,244
Asian/Asian British: Chinese,E06000002,904
Asian/Asian British: Other Asian,E06000002,1332
Black/African/Caribbean/Black British,E06000002,1731
Black/African/Caribbean/Black British: African,E06000002,1470
Black/African/Caribbean/Black British: Caribbean,E06000002,92
Black/African/Caribbean/Black British: Other Black,E06000002,169
Other ethnic group,E06000002,1496
Other ethnic group: Arab,E06000002,950
Other ethnic group: Any other ethnic group,E06000002,546
All usual residents,E06000057,316028
White,E06000057,311066
White: English/Welsh/Scottish/Northern Irish/British,E06000057,307097
White: Irish,E06000057,833
White: Gypsy or Irish Traveller,E06000057,156
White: Other White,E06000057,2980
Mixed/multiple ethnic groups,E06000057,1692
Mixed/multiple ethnic groups: White and Black Caribbean,E06000057,515
Mixed/multiple ethnic groups: White and Black African,E06000057,230
Mixed/multiple ethnic groups: White and Asian,E06000057,624
Mixed/multiple ethnic groups: Other Mixed,E06000057,323
Asian/Asian British,E06000057,2658
Asian/Asian British: Indian,E06000057,939
Asian/Asian British: Pakistani,E06000057,351
Asian/Asian British: Bangladeshi,E06000057,295
Asian/Asian British: Chinese,E06000057,452
Asian/Asian British: Other Asian,E06000057,621
Black/African/Caribbean/Black British,E06000057,338
Black/African/Caribbean/Black British: African,E06000057,193
Black/African/Caribbean/Black British: Caribbean,E06000057,114
Black/African/Caribbean/Black British: Other Black,E06000057,31
Other ethnic group,E06000057,274
Other ethnic group: Arab,E06000057,73
Other ethnic group: Any other ethnic group,E06000057,201
All usual residents,E06000003,135177
White,E06000003,133203
White: English/Welsh/Scottish/Northern Irish/British,E06000003,131928
White: Irish,E06000003,415
White: Gypsy or Irish Traveller,E06000003,85
White: Other White,E06000003,775
Mixed/multiple ethnic groups,E06000003,853
Mixed/multiple ethnic groups: White and Black Caribbean,E06000003,298
Mixed/multiple ethnic groups: White and Black African,E06000003,107
Mixed/multiple ethnic groups: White and Asian,E06000003,273
Mixed/multiple ethnic groups: Other Mixed,E06000003,175
Asian/Asian British,E06000003,869
Asian/Asian British: Indian,E06000003,91
Asian/Asian British: Pakistani,E06000003,295
Asian/Asian British: Bangladeshi,E06000003,94
Asian/Asian British: Chinese,E06000003,155
Asian/Asian British: Other Asian,E06000003,234
Black/African/Caribbean/Black British,E06000003,122
